log2FoldChange	padj
279543	0.909647238694391	NA
580312	0	NA
559063	-0.754540377898528	0.455452465395449
32727	0.231578679375912	NA
16214	0.294010446137638	NA
215767	0.250527069481538	NA
579000	0.208021710714421	NA
16219	0.294010446137638	NA
181056	-0.978200908001898	0.063420351969389
296298	-0.163259231078074	NA
324055	-0.220826654411799	0.932922850771173
183673	0.0202364568836306	0.988785512913198
147281	-0.649176461282763	0.59205022524729
235036	0.388501832703091	NA
2222	-0.209989091762643	NA
307490	-0.161225595787606	0.880777355170037
270625	0.116906112061426	NA
199013	0.104505311484007	0.913568943026478
177731	0.231578679375912	NA
328422	-1.37087953291843	0.178354723620687
244198	-0.204818482943517	NA
154106	0.32775839013483	NA
309413	0.681998343089348	NA
409686	0.261950826333911	NA
309419	0.294010446137638	NA
125665	0.170834385459914	NA
205466	-0.939613306603627	0.440180890575586
305729	0.201206532417913	NA
204593	-0.0996138958888563	NA
337270	0.263638299179639	NA
529472	0.0830975153674543	NA
177477	0.195859242687744	NA
315581	0.324382593095637	NA
134301	0.388501832703091	NA
245916	0.947085662090786	NA
128388	0.125055900068912	NA
345575	-0.0417675727652655	NA
292995	0.110090091543916	NA
320768	-1.0567679955906	0.0390194429862283
292688	0.294010446137638	NA
404318	0.451282683551643	NA
323142	0.430843889325492	NA
191319	0.231578679375912	NA
199746	0.201206532417913	NA
301110	0.0581857791346374	NA
362501	0.261950826333911	NA
299370	0.326070065941365	NA
539347	0.371587982190965	0.907139169771382
157036	0.261950826333911	NA
498091	0.261950826333911	NA
470993	1.12655987180919	0.197453704586435
188818	-0.56211972118646	0.484221831968014
198161	0.261950826333911	NA
353313	0.261950826333911	NA
269103	0.234953808064118	NA
9562	-0.0113345977659935	0.992585955465256
139660	0.324382593095637	NA
36800	0.356442212899364	NA
345114	0.261950826333911	NA
134232	0.23326615222164	NA
465686	0.201206532417913	NA
294078	0.358129685745092	NA
190191	0.115159065797259	NA
187447	0.263638299179639	NA
294672	-0.671906055019675	NA
342487	0.294010446137638	NA
219113	0.261950826333911	NA
194219	0.261950826333911	NA
112263	0.170834385459914	NA
360838	0.326070065941365	NA
169809	0.356442212899364	NA
164837	0.261950826333911	NA
39700	0.261950826333911	NA
78248	0.261950826333911	NA
37420	-0.904438816729003	0.615886560634174
269218	0.324382593095637	NA
275891	0.324382593095637	NA
295675	0.324382593095637	NA
44206	0.324382593095637	NA
211720	-0.869979968878691	0.524054825667362
362693	0.236644769678365	NA
